127.0.0.1 - - [10/Oct/2023:12:05:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:05:46 +0530] "GET /AEPL-TEST/ HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:05:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:05:56 +0530] "GET /AEPL-TEST/getelenmentbyid.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:06:00 +0530] "GET /AEPL-TEST/getelenmentbyid? HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:52:52 +0530] "GET /AEPL-TEST/ HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:52:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:53:33 +0530] "POST /AEPL-TEST/user_register HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:53:44 +0530] "GET /AEPL-TEST/ HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:53:44 +0530] "GET /AEPL-TEST/ HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:53:46 +0530] "GET /AEPL-TEST/getelenmentbyid.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2023:12:53:50 +0530] "GET /AEPL-TEST/getelenmentbyid? HTTP/1.1" 404 682
