127.0.0.1 - - [04/Feb/2024:19:24:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/index.jsp HTTP/1.1" 200 6562
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/hos.jpg HTTP/1.1" 200 136226
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/hos2.jpg HTTP/1.1" 200 87796
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/hos3.jpg HTTP/1.1" 200 105408
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/doct.jpg HTTP/1.1" 200 62639
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/doc1.jpg HTTP/1.1" 200 60478
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/doc2.jpg HTTP/1.1" 200 32155
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/doc3.jpg HTTP/1.1" 200 48150
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:06 +0530] "GET /hospital_servlet/img/doc4.jpg HTTP/1.1" 200 54971
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:21 +0530] "GET /hospital_servlet/user_login.jsp HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:24 +0530] "GET /hospital_servlet/user_appointment.jsp HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:24:24 +0530] "GET /hospital_servlet/img/hospital.jpg HTTP/1.1" 200 89112
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:27:49 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 500 3967
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:28:20 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3271
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:28:20 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:28:20 +0530] "GET /StudentProject/img/doct1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:01 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:01 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:32 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:32 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:32 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:32 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:33 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:29:33 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:30:10 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:30:10 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:30:21 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:16 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:16 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:16 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:29 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:29 +0530] "GET /StudentProject/img/doct2.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:29 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:34 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:34 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:55 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:55 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:56 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:31:56 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:32:01 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:32:01 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:32:11 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5088
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:32:11 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:32:20 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:32:20 +0530] "GET /StudentProject/img/hospital.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:33:10 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:33:10 +0530] "GET /StudentProject/img/doct.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:33:21 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:33:33 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:33:45 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:33:56 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:34:05 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [04/Feb/2024:19:35:03 +0530] "GET /StudentProject/addappointment.jsp HTTP/1.1" 200 3039
